Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_1,8819.389308,61.5,6.2,3.9,10.3,51.8,14.4,60.4,82.8,6.1,45.8,0.0,0.0,0.0,0.0,3263455900740,812682379740,30200113860,4746332220,22891602300,0,0,42002940,19.960947
package_0,7769.871978,60.2,7.9,0.6,10.1,53.5,7.2,64.2,100.0,0.0,53.2,1.4,0.0,0.0,0.0,2796695898360,756988708980,27301911000,0,24823737540,0,0,1092076440,20.004146
package_2,3747.402074,65.9,5.6,0.6,6.9,53.9,30.8,40.1,21.2,33.0,13.8,0.0,0.0,0.0,0.0,1865821972980,422532675600,14365005480,10122708540,2730191100,0,0,0,16.007929
package_3,3668.407833,70.4,5.7,0.3,4.7,59.7,27.3,46.0,84.7,5.3,45.6,1.2,0.0,0.0,0.0,1530357909360,357262717560,11802826140,1638114660,9072635040,0,0,420029400,18.405511
