Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_3,48862.666777,54.9,6.1,4.9,13.6,3.9,1.1,40.7,15494684826600,3928671856620,3570249900,168011760,0,84005880,462032340,0,13.638042
package_2,44694.527559,53.7,4.8,4.6,12.4,0.0,1.0,46.1,14117715518760,3599675987040,3360235200,0,0,294020580,630044100,0,13.387599
package_1,34404.093910,52.8,9.9,5.2,16.3,1.5,1.6,33.2,14538316136400,3727443819960,5670396900,420029400,0,756052920,2184152880,0,12.817869
package_0,28849.155109,56.9,11.8,2.3,10.1,3.4,7.3,28.8,15186227573160,4041571243500,7686538020,168011760,630044100,2562179340,1848129360,126008820,14.749293
