Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_2,16343.492604,54.8,5.0,1.2,5.2,44.5,0.5,0.0,13118631547140,3806994206400,89634273960,22513575840,63550448220,0,0,1512105840,12.757427
package_1,14403.262773,54.5,4.9,2.8,4.6,43.8,0.4,0.0,11103201086040,2989817691840,79469562480,23605652280,50907563280,0,42002940,2814196980,13.244185
package_0,13268.448365,53.2,4.9,5.1,4.3,40.0,0.6,0.1,10312149355200,2520747620160,73883171460,35870510760,34820437260,84005880,0,1302091140,13.646231
package_3,3425.702361,8.9,12.6,0.7,0.1,0.3,1.0,0.0,4484726537760,781139433480,0,0,0,0,0,0,7.256659
