Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,95779.513357,40.7,10.6,0.8,4.8,1.7,5.7,11.9,18407304202560,4389299675040,8988629160,882061740,336023520,1512105840,2478173460,168011760,13.866562
package_1,95240.688112,43.5,11.4,1.1,8.3,0.1,4.3,13.8,17720205590220,3929133870480,11298790860,42002940,0,3612252840,4116288120,84005880,15.075824
package_3,85189.269038,35.7,11.8,1.1,4.0,1.2,4.2,9.4,18086246571120,4166020976880,10248717360,756052920,420029400,2898202860,2142149940,210014700,13.516084
package_2,78062.307350,36.4,12.0,1.0,3.2,1.0,4.7,8.8,17262727866300,3814890443280,9114637980,420029400,420029400,3570249900,924064680,84005880,13.916803
