Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,10808.212383,46.5,4.8,8.5,3.9,35.5,39.9,36.8,73.6,12.5,54.0,2.5,5419982594600,2139124171800,42983008600,10220715400,28561999200,0,0,2240156800,25.575834
package_1,10735.868258,45.1,4.5,8.8,4.2,35.4,40.5,36.9,70.9,14.3,54.0,3.4,5553546601400,2193165793000,45223165400,11760823200,28702009000,0,0,3080215600,26.404518
package_2,10705.536022,45.6,4.5,9.0,4.2,34.6,41.2,37.0,69.2,15.4,53.4,3.3,5586867601000,2206046179400,46343243800,12740891800,28561999200,0,0,3080215600,27.625337
package_3,10668.230858,45.3,5.0,8.5,4.1,34.7,40.5,36.6,64.1,18.3,50.8,2.9,5509305274200,2170485112600,46483253600,15121058400,27021891400,0,0,2660186200,30.344567
