Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_3,26579.389130,54.8,7.0,16.6,7.7,34.0,25.1,56.8,73.4,4.2,18.0,0.0,4932767978600,1922817682800,47883351600,10220715400,28141969800,0,40.621125
package_2,26503.947475,56.9,6.9,17.4,9.1,33.9,25.8,58.0,67.9,5.4,17.6,0.0,4923527701400,1917777531600,49003430000,13020911400,27581930600,0,38.882986
package_1,26470.998954,54.1,7.6,18.0,7.6,31.2,26.6,54.6,73.8,3.9,17.1,0.0,4856045677000,1899016968800,43963077200,9520666400,26881881600,0,38.517893
package_0,26329.137265,54.2,7.1,16.3,6.7,34.3,24.3,56.2,67.1,5.5,17.5,0.0,4998149940000,1951798552200,50123508400,13440940800,27441920800,0,44.430132
