Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_2,11899.027940,54.2,3.5,12.0,6.4,36.4,34.2,51.0,67.4,11.7,37.4,1.7,5094052817000,1999959997000,44243096800,12740891800,26321842400,2100147000,34.593257
package_3,11858.757847,54.9,3.2,11.8,6.7,36.3,33.6,51.1,71.5,10.4,40.3,1.9,4886146580000,1899576985600,44943145800,11200784000,28141969800,2240156800,37.343254
package_1,11833.915907,54.5,3.0,11.8,6.7,36.4,34.0,51.5,72.8,9.5,39.4,1.7,4992549772000,1951658548000,44663126200,10500735000,28141969800,2100147000,36.235190
package_0,11785.016509,54.4,3.3,11.8,6.5,36.4,33.7,51.3,73.3,9.0,38.2,1.3,4914707436800,1924217724800,42282959600,9660676200,26461852200,1540107800,35.626034
