Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,101347.290924,77.5,6.2,2.2,22.6,21.0,35.2,51.6,78.4,0.9,3.1,0.0,28.5,0.8,8.3,5441403237200,2182945486400,45923214400,5740401800,13440940800,1260088200,11900833000,0,74.531860
package_2,101030.455344,77.7,5.9,2.3,22.8,21.7,36.3,51.4,62.2,1.0,3.2,0.0,29.4,4.1,5.7,5357400717200,2132543974400,47463322200,6440450800,13580950600,6720470400,8120568400,0,86.243140
package_1,100920.194819,77.0,5.0,2.5,21.3,19.8,34.2,53.1,68.3,1.0,3.6,0.0,33.5,4.0,9.4,5972299163600,2382871484000,53903773000,6720470400,15541087800,6720470400,13440940800,0,81.651606
package_3,100920.194819,77.7,4.9,2.5,24.2,19.1,35.0,52.8,64.3,1.0,3.1,0.0,31.0,4.0,7.5,5548926462800,2174545234400,50683547600,6720470400,13440940800,6720470400,10780754600,0,72.454379
