Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,408.311354,31.7,11.9,1.9,12.2,0.3,0.6,250327509600,91702751000,0,0,0,0,10.253968
package_1,349.084635,14.7,9.6,2.8,12.9,0.0,0.0,302689080400,110463313800,0,0,0,0,11.167910
package_2,339.409630,20.5,13.5,4.1,11.8,0.0,0.0,234367030800,84702541000,0,0,0,0,9.713115
package_3,332.088004,12.8,4.8,0.8,5.3,0.0,0.0,188725661600,70282108400,0,0,0,0,11.771429
