Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,207.287612,39.2,5.8,25.4,8.6,2.9,1.9,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122783683400,47741432200,0,0,0,0,0,0,19.756098
package_1,177.879408,33.4,0.0,18.8,21.8,1.0,4.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236187085400,91562746800,0,0,0,0,0,0,21.686347
package_2,174.393329,28.1,3.0,1.0,4.0,0.0,7.1,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84702541000,32480974400,0,0,0,0,0,0,13.962264
package_3,168.940745,4.6,15.0,5.2,2.1,3.6,4.7,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80642419200,30940928200,0,0,0,0,0,0,22.964286
