Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,212.633043,26.2,1.9,6.6,4.2,0.0,5.2,16.4,0.0,0.0,0.0,0.0,66501995000,25620768600,0,0,0,0,0,0,29.753623
package_1,181.298106,13.5,18.0,1.5,8.3,0.0,1.9,17.5,0.0,0.0,0.0,0.0,150644519200,58101743000,0,0,0,0,0,0,11.968000
package_2,177.375791,15.3,3.4,4.9,12.3,0.0,4.9,34.4,0.0,0.0,0.0,0.0,163664909800,63281898400,0,0,0,0,0,0,12.447853
package_3,177.201466,18.5,11.9,4.0,7.4,0.0,2.0,16.9,0.0,0.0,0.0,0.0,101643049200,39061171800,0,0,0,0,0,0,18.533333
