Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,467.784137,33.2,11.3,6.8,11.1,0.0,4.9,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261247837200,94222826600,0,0,0,0,0,0,9.593284
package_1,395.354732,30.7,13.1,2.9,12.8,0.2,5.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260547816200,93662809800,0,0,0,0,0,0,9.006826
package_2,389.732955,25.4,0.0,9.5,9.8,0.0,9.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220086602400,79382381400,0,0,0,0,0,0,10.552632
package_3,382.847368,23.4,13.1,9.6,9.9,1.2,13.6,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208886266400,76162284800,0,0,0,0,0,0,22.861607
