Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_0,292001.259350,66.8,3.5,3.3,3.7,24.6,22.8,58.1,65.2,0.2,0.8,0.0,40.7,0.9,1.9,5297478919600,2093062790000,48723410400,6720470400,13580950600,6580460600,11340793800,0,64.888911
package_1,290774.436549,68.5,3.3,3.0,18.3,23.9,23.0,58.8,80.3,0.2,0.8,0.0,27.6,0.0,1.9,4990029696400,2000940026400,43403038000,6020421400,13440940800,0,11060774200,0,98.986062
package_3,287711.737709,66.9,3.5,3.0,4.3,26.9,23.4,56.7,79.9,0.2,0.8,0.0,36.6,0.0,2.3,5138154140000,2009060270000,45783204600,6720470400,13440940800,0,13300931000,0,69.918290
package_2,282705.298302,69.5,3.6,3.2,18.5,25.5,21.0,61.0,78.7,0.2,0.8,0.0,27.2,0.0,1.8,4776383287200,1868496053200,43823067400,6440450800,13440940800,0,10360725200,0,91.931865
