Package,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles)
package_1,1071.847598,21.5,12.6,2.4,7.2,5.2,0.2,0.0,689240676600,119997599820,0,0,0,0,0,0,9.387128
package_2,1008.906950,21.3,10.3,2.3,4.9,7.0,0.1,0.0,644341329660,103995119760,0,0,0,0,0,0,9.241020
package_0,997.453687,18.7,14.5,1.8,5.2,2.1,0.2,0.0,715365460320,124869745980,0,0,0,0,0,0,9.820734
package_3,965.499606,18.1,10.5,1.6,3.3,4.2,0.0,0.0,634429032300,96434892960,0,0,0,0,0,0,8.668955
